userId,Profit,Bet Count
r1g3aWC8CRaZPkBBOoZeTsIaom03,111.99174994853354,22
HZOM0MXbYTZYsuhDQkJj4uyMSVg1,110.39162628200484,3
UA5Eb886qqeFhG100dohmUNn8s72,108.57142857142861,4
A2vL5pSsG3Y4SIt40uSdfrCCYce2,108.47336676158261,28
tv2VbdhTd3Pbsk8dSclcLRy5S323,106.9942295007429,2
bCEaqHOSWUfptqr33ghcebFFh222,106.66905978746468,10
w9WUMRKaE8VpIpI5VnEpeT5H6Di2,106.31980022952393,103
ak81Xvuk4hUaQatKQUQlfwPGVYv1,105.41239910166723,30
wYySvo3dvrdb9zU0OZu3W4hgpEo2,103.34768307742092,8
axnjKwNredUMbrZscEGI8yo6Vez2,102.08704064811604,8
yvirH3FiBBVM5LGDS4pdVypN8K13,100.56678622647723,46
X2HyDnV561QrkudkUkBngyOBs2I2,99.9015245181647,3
HPiat0djY6aUvyBEM1jEXMRtVHJ2,98.01425219677355,4
Vtl6pxlGtCMIiGoNUznnvqmAUr43,97.57789439857447,3
uD9QyLZi1FPJIrAc6qa1GjcEeeW2,97.47453523593617,5
N8qGO4DJmjbI73ikYE2qjwSPCxb2,97.02930368410307,105
o2scNwSaqzZWz7paLV7C0ooiI0Z2,94.96828444486255,11
ywxrDghvI7PE6G7AkPuZv099x6l2,94.41761723920126,55
ZW7s9KuqWKY6zMh3JmnxARjeEQg2,94.18604404916664,30
KwV5jGox5xUAaOm8sKFGbf9MQSe2,92.83079647011562,5
qAj3beZsqxfWc8gM9tk8GxSo2zz2,92.1338522981315,11
c37f7OTx80g40Jd2nbHEAIgRyO22,91.79405388804389,2
RkfnjhiBsnZ7WgEcmAbDZgbTJLU2,91.54149523204785,4
MpjVOt3ObIhtCk8AyARYXkCYj5p1,90.36571458969183,3
cAZUzXEC2fN4UiWUYji9Vx35o3A3,90.00671186230613,13
12S7OhYOpiSUw0kJsalcBshAfav1,89.36166902179127,16
kdVVd7BUfKXUbaAUv3vIeB10oAq2,88.92881402801595,2
