amount,isCancelled,probBefore,userId,probAfter,loanAmount,shares,orderAmount,contractId,isFilled,createdTime,id_x,outcome,fees_liquidityFee,fees_creatorFee,fees_platformFee,fills_shares,fills_amount,fills_matchedBetId,fills_timestamp,isRedemption,fills_isSale,limitProb,fills,isLiquidityProvision,resolution,question,Accuracy
-149.82367279418276,False,0.26579384116858257,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.21244038980161717,0.0,-679.5135084900862,-149.82367279418276,3ansLD74SqUuBFn8S5pl,True,1677533098982,UBqYkCCNWgkpprIV4Ypw,YES,0,11.793845411610507,0,-302.21040092865064,-70.80422914264943,,1677533098982.0,,True,,,,NO,"China Reaches 100,000 Covid Cases by Winter?",WRONG
-149.82367279418276,False,0.26579384116858257,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.21244038980161717,0.0,-679.5135084900862,-149.82367279418276,3ansLD74SqUuBFn8S5pl,True,1677533098982,UBqYkCCNWgkpprIV4Ypw,YES,0,11.793845411610507,0,-4.166666666666667,-1.0,gDaBuMVnVMadmop4mZfo,1677533098982.0,,True,,,,NO,"China Reaches 100,000 Covid Cases by Winter?",WRONG
-149.82367279418276,False,0.26579384116858257,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.21244038980161717,0.0,-679.5135084900862,-149.82367279418276,3ansLD74SqUuBFn8S5pl,True,1677533098982,UBqYkCCNWgkpprIV4Ypw,YES,0,11.793845411610507,0,-373.13644089476884,-78.01944365153332,,1677533098982.0,,True,,,,NO,"China Reaches 100,000 Covid Cases by Winter?",WRONG
0.0,True,0.4129095983374027,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.4129095983374027,0.0,0.0,250.0,3ansLD74SqUuBFn8S5pl,False,1677372206376,kYidlVRh9chWjUW4jRF6,YES,0,0.0,0,,,,,,,0.25,[],,NO,"China Reaches 100,000 Covid Cases by Winter?",WRONG
250.0,False,0.30582458596977863,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.38876463475333267,0.0,679.5135084900858,250.0,3ansLD74SqUuBFn8S5pl,True,1677518225497,uS8CmFnpvQp7SwaHg5Ko,YES,0,15.147776647945816,0,679.5135084900858,250.0,,1677518225497.0,,,,,,NO,"China Reaches 100,000 Covid Cases by Winter?",WRONG
100.0,False,0.2823644310647449,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.3126022401846828,0.0,313.4125291872815,100.0,6WvnAoqUX7WtH7MtuXR6,True,1683821590193,02d37iGVVMbXBAsA2WXf,YES,0,6.85166088326569,0,313.4125291872815,100.0,,1683821590193.0,,,,,,NO,Send ATACMS to Ukraine?,WRONG
71.0,False,0.3163118946337829,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.3379183962719843,0.0,202.78499151211372,71.0,6WvnAoqUX7WtH7MtuXR6,True,1683740940962,AUjHmM2NezhAZEus5S47,YES,0,4.689936376171918,0,202.78499151211372,71.0,,1683740940962.0,,,,,,NO,Send ATACMS to Ukraine?,WRONG
50.0,False,0.18343353023475004,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.19696032174363728,0.0,241.9420663014339,50.0,6WvnAoqUX7WtH7MtuXR6,True,1689970648317,AaG9f0PI6Vwk75IXt1aA,YES,0,4.009228096153185,0,241.9420663014339,50.0,,1689970648317.0,,,,,,NO,Send ATACMS to Ukraine?,WRONG
61.0,False,0.3126022401846828,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.33115209409997104,0.0,176.91230974358587,61.0,6WvnAoqUX7WtH7MtuXR6,True,1683821615593,BIEmxfvmQnQ2lXiF2FsU,YES,0,4.071878966163932,0,176.91230974358587,61.0,,1683821615592.0,,,,,,NO,Send ATACMS to Ukraine?,WRONG
500.0,False,0.09267314011394633,102hYaQkuxZ7wnPNGZ5JcDMR2aR2,0.08273701417714124,0.0,543.4529352315944,500.0,6WvnAoqUX7WtH7MtuXR6,True,1690757620503,CxbScDDDuEbYZzxeWjXI,NO,0,4.133076669642108,0,543.4529352315944,500.0,,1690757620503.0,,,,,,NO,Send ATACMS to Ukraine?,RIGHT
